date,holiday,hasHoliday,daysUntilNext
2023-02-17,,0,3
2023-02-18,,0,2
2023-02-19,,0,1
2023-02-20,Washington's Birthday,1,0
2023-02-21,,0,97
2023-02-22,,0,96
2023-02-23,,0,95
2023-02-24,,0,94
2023-02-25,,0,93
2023-02-26,,0,92
2023-02-27,,0,91
2023-02-28,,0,90
2023-03-01,,0,89
2023-03-02,,0,88
2023-03-03,,0,87
2023-03-04,,0,86
2023-03-05,,0,85
2023-03-06,,0,84
2023-03-07,,0,83
2023-03-08,,0,82
2023-03-09,,0,81
2023-03-10,,0,80
2023-03-11,,0,79
2023-03-12,,0,78
2023-03-13,,0,77
2023-03-14,,0,76
2023-03-15,,0,75
2023-03-16,,0,74
2023-03-17,,0,73
2023-03-18,,0,72
2023-03-19,,0,71
2023-03-20,,0,70
2023-03-21,,0,69
2023-03-22,,0,68
2023-03-23,,0,67
2023-03-24,,0,66
2023-03-25,,0,65
2023-03-26,,0,64
2023-03-27,,0,63
2023-03-28,,0,62
2023-03-29,,0,61
2023-03-30,,0,60
2023-03-31,,0,59
2023-04-01,,0,58
2023-04-02,,0,57
2023-04-03,,0,56
2023-04-04,,0,55
2023-04-05,,0,54
2023-04-06,,0,53
2023-04-07,,0,52
2023-04-08,,0,51
2023-04-09,,0,50
2023-04-10,,0,49
2023-04-11,,0,48
2023-04-12,,0,47
2023-04-13,,0,46
2023-04-14,,0,45
2023-04-15,,0,44
2023-04-16,,0,43
2023-04-17,,0,42
2023-04-18,,0,41
2023-04-19,,0,40
2023-04-20,,0,39
2023-04-21,,0,38
2023-04-22,,0,37
2023-04-23,,0,36
2023-04-24,,0,35
2023-04-25,,0,34
2023-04-26,,0,33
2023-04-27,,0,32
2023-04-28,,0,31
2023-04-29,,0,30
2023-04-30,,0,29
2023-05-01,,0,28
2023-05-02,,0,27
2023-05-03,,0,26
2023-05-04,,0,25
2023-05-05,,0,24
2023-05-06,,0,23
2023-05-07,,0,22
2023-05-08,,0,21
2023-05-09,,0,20
2023-05-10,,0,19
2023-05-11,,0,18
2023-05-12,,0,17
2023-05-13,,0,16
2023-05-14,,0,15
2023-05-15,,0,14
2023-05-16,,0,13
2023-05-17,,0,12
2023-05-18,,0,11
2023-05-19,,0,10
2023-05-20,,0,9
2023-05-21,,0,8
2023-05-22,,0,7
2023-05-23,,0,6
2023-05-24,,0,5
2023-05-25,,0,4
2023-05-26,,0,3
2023-05-27,,0,2
2023-05-28,,0,1
2023-05-29,Memorial Day,1,0
2023-05-30,,0,20
2023-05-31,,0,19
2023-06-01,,0,18
2023-06-02,,0,17
2023-06-03,,0,16
2023-06-04,,0,15
2023-06-05,,0,14
2023-06-06,,0,13
2023-06-07,,0,12
2023-06-08,,0,11
2023-06-09,,0,10
2023-06-10,,0,9
2023-06-11,,0,8
2023-06-12,,0,7
2023-06-13,,0,6
2023-06-14,,0,5
2023-06-15,,0,4
2023-06-16,,0,3
2023-06-17,,0,2
2023-06-18,,0,1
2023-06-19,Juneteenth National Independence Day,1,0
2023-06-20,,0,14
2023-06-21,,0,13
2023-06-22,,0,12
2023-06-23,,0,11
2023-06-24,,0,10
2023-06-25,,0,9
2023-06-26,,0,8
2023-06-27,,0,7
2023-06-28,,0,6
2023-06-29,,0,5
2023-06-30,,0,4
2023-07-01,,0,3
2023-07-02,,0,2
2023-07-03,,0,1
2023-07-04,Independence Day,1,0
2023-07-05,,0,61
2023-07-06,,0,60
2023-07-07,,0,59
2023-07-08,,0,58
2023-07-09,,0,57
2023-07-10,,0,56
2023-07-11,,0,55
2023-07-12,,0,54
2023-07-13,,0,53
2023-07-14,,0,52
2023-07-15,,0,51
2023-07-16,,0,50
2023-07-17,,0,49
2023-07-18,,0,48
2023-07-19,,0,47
2023-07-20,,0,46
2023-07-21,,0,45
2023-07-22,,0,44
2023-07-23,,0,43
2023-07-24,,0,42
2023-07-25,,0,41
2023-07-26,,0,40
2023-07-27,,0,39
2023-07-28,,0,38
2023-07-29,,0,37
2023-07-30,,0,36
2023-07-31,,0,35
2023-08-01,,0,34
2023-08-02,,0,33
2023-08-03,,0,32
2023-08-04,,0,31
2023-08-05,,0,30
2023-08-06,,0,29
2023-08-07,,0,28
2023-08-08,,0,27
2023-08-09,,0,26
2023-08-10,,0,25
2023-08-11,,0,24
2023-08-12,,0,23
2023-08-13,,0,22
2023-08-14,,0,21
2023-08-15,,0,20
2023-08-16,,0,19
2023-08-17,,0,18
2023-08-18,,0,17
2023-08-19,,0,16
2023-08-20,,0,15
2023-08-21,,0,14
2023-08-22,,0,13
2023-08-23,,0,12
2023-08-24,,0,11
2023-08-25,,0,10
2023-08-26,,0,9
2023-08-27,,0,8
2023-08-28,,0,7
2023-08-29,,0,6
2023-08-30,,0,5
2023-08-31,,0,4
2023-09-01,,0,3
2023-09-02,,0,2
2023-09-03,,0,1
2023-09-04,Labor Day,1,0
2023-09-05,,0,34
2023-09-06,,0,33
2023-09-07,,0,32
2023-09-08,,0,31
2023-09-09,,0,30
2023-09-10,,0,29
2023-09-11,,0,28
2023-09-12,,0,27
2023-09-13,,0,26
2023-09-14,,0,25
2023-09-15,,0,24
2023-09-16,,0,23
2023-09-17,,0,22
2023-09-18,,0,21
2023-09-19,,0,20
2023-09-20,,0,19
2023-09-21,,0,18
2023-09-22,,0,17
2023-09-23,,0,16
2023-09-24,,0,15
2023-09-25,,0,14
2023-09-26,,0,13
2023-09-27,,0,12
2023-09-28,,0,11
2023-09-29,,0,10
2023-09-30,,0,9
2023-10-01,,0,8
2023-10-02,,0,7
2023-10-03,,0,6
2023-10-04,,0,5
2023-10-05,,0,4
2023-10-06,,0,3
2023-10-07,,0,2
2023-10-08,,0,1
2023-10-09,Columbus Day,1,0
2023-10-10,,0,31
2023-10-11,,0,30
2023-10-12,,0,29
2023-10-13,,0,28
2023-10-14,,0,27
2023-10-15,,0,26
2023-10-16,,0,25
2023-10-17,,0,24
2023-10-18,,0,23
2023-10-19,,0,22
2023-10-20,,0,21
2023-10-21,,0,20
2023-10-22,,0,19
2023-10-23,,0,18
2023-10-24,,0,17
2023-10-25,,0,16
2023-10-26,,0,15
2023-10-27,,0,14
2023-10-28,,0,13
2023-10-29,,0,12
2023-10-30,,0,11
2023-10-31,,0,10
2023-11-01,,0,9
2023-11-02,,0,8
2023-11-03,,0,7
2023-11-04,,0,6
2023-11-05,,0,5
2023-11-06,,0,4
2023-11-07,,0,3
2023-11-08,,0,2
2023-11-09,,0,1
2023-11-10,Veterans Day (Observed),1,0
2023-11-11,Veterans Day,1,0
2023-11-12,,0,11
2023-11-13,,0,10
2023-11-14,,0,9
2023-11-15,,0,8
2023-11-16,,0,7
2023-11-17,,0,6
2023-11-18,,0,5
2023-11-19,,0,4
2023-11-20,,0,3
2023-11-21,,0,2
2023-11-22,,0,1
2023-11-23,Thanksgiving,1,0
2023-11-24,,0,31
2023-11-25,,0,30
2023-11-26,,0,29
2023-11-27,,0,28
2023-11-28,,0,27
2023-11-29,,0,26
2023-11-30,,0,25
2023-12-01,,0,24
2023-12-02,,0,23
2023-12-03,,0,22
2023-12-04,,0,21
2023-12-05,,0,20
2023-12-06,,0,19
2023-12-07,,0,18
2023-12-08,,0,17
2023-12-09,,0,16
2023-12-10,,0,15
2023-12-11,,0,14
2023-12-12,,0,13
2023-12-13,,0,12
2023-12-14,,0,11
2023-12-15,,0,10
2023-12-16,,0,9
2023-12-17,,0,8
2023-12-18,,0,7
2023-12-19,,0,6
2023-12-20,,0,5
2023-12-21,,0,4
2023-12-22,,0,3
2023-12-23,,0,2
2023-12-24,,0,1
2023-12-25,Christmas Day,1,0
2023-12-26,,0,6
2023-12-27,,0,5
2023-12-28,,0,4
2023-12-29,,0,3
2023-12-30,,0,2
2023-12-31,,0,1
